"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Undergraduate degree","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664744721","1.7.28.1.2.1.4.1","4970","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664744722","1.7.28.1.2.1.4.2","47000","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Physical and life sciences and technologies [6]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664744723","1.7.28.1.2.1.4.3","61800","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664744964","1.7.34.1.2.1.4.1","4410","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664744965","1.7.34.1.2.1.4.2","72500","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664744966","1.7.34.1.2.1.4.3","90000","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664745207","1.7.39.1.2.1.4.1","12570","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664745208","1.7.39.1.2.1.4.2","74500","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664745209","1.7.39.1.2.1.4.3","90700","","","","0"
"2018","Canada","2021A11124","Undergraduate degree","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664745450","1.7.47.1.2.1.4.1","1820","","","","0"
